wavelength_alpha,wavelength_beta,wavelength_gamma,intensity_delta,isStar
24.980326050687037,51.44526777452639,52.62020842395023,54.06455542564615,False
46.313937679255886,57.67940281017506,58.38999252413922,43.238722463410525,False
32.699598577786816,62.22762753523174,58.03221714262957,23.819466754313087,False
8.144348003736425,50.78076041652229,45.763862073922525,30.968590227567105,False
45.845399847917676,84.91341261278859,53.67068307034823,55.6027715097532,True
42.91678046518024,85.34553339595338,44.54166794008903,45.00512931430133,True
27.86604162851974,49.18844434867264,56.40699417096825,,True
24.330013693772788,55.44789355234736,48.86576589994742,,True
16.88674074309992,41.33904732354554,40.619019169319536,43.447569718028916,True
14.625952066020126,52.78835927498776,51.17275602398317,38.3109151850952,True
19.470192908794523,59.14837427231003,49.53668118976258,16.134059662370678,True
46.04499825426721,51.79246540122958,52.78330135686088,47.794753985798145,False
38.34092227946368,20.549906644585537,51.27832111393161,8.748658958993243,True
46.98795694478221,52.95713409809205,58.80437127600344,36.56789483298539,False
17.347046103787246,57.66714269998488,47.94510018938771,15.689050196107917,True
14.206098755954507,42.68212936268043,47.17585757007552,37.40205372136376,False
,44.96860954381545,50.19403481190437,47.30842220367967,False
29.547000304011686,,55.747652174182036,34.17080807059829,False
27.861647139429508,32.217563842340205,46.7382983903579,22.234286644746753,True
12.724705533394824,62.34485645196823,,44.56557266372044,False
34.06396465111355,56.651919116950836,48.08353744961968,35.08041546739606,True
27.587196524162525,29.001458649858087,45.296164799142744,46.39837480383889,True
38.15908631832952,79.70086371045355,53.586990930410195,20.278726439468382,True
29.92038416261023,43.60217063985827,56.00601205582902,,False
39.674213640552324,0.0,44.041657016642894,47.703899568565475,True
37.288587844370106,48.25774633813463,41.64571830177389,38.953117756148636,True
,55.85523441735977,41.75157998187825,46.62458354596566,True
,68.69990472107295,51.71615121278538,34.86247610628894,False
2.4223884830179507,74.41642786255245,53.983277177883636,27.558542604228926,True
27.704859715419403,62.091229150105136,45.57058921770874,13.795964696637878,False
22.012199340081906,61.41375382294006,48.92699330777307,39.61825461757711,True
13.410505520839573,67.6746195494954,52.24950131148259,3.962266355165344,True
1.0232781558044444,49.049930733555755,,,False
4.039406182239997,35.241419041085265,53.36979968385623,37.67206102135111,True
29.75110872937561,77.09510075486408,43.15844715346977,21.271142916263322,True
24.926092484481977,,47.0354325172997,18.052295154459575,False
16.734226770671018,73.2989489860635,50.967013416093664,50.30135730196224,True
26.421166202961054,69.21273254922897,44.80074578939699,39.515994548725594,False
26.383875069048187,55.632553412842256,43.5535848188722,32.6700748014996,True
50.18603826598806,57.94129331282191,44.55226520671803,34.39543597029895,False
19.996701136686063,47.275288626082514,47.25567501895112,27.608854211925635,True
,67.03134588702393,46.518539517532,22.720807877006607,False
27.86832638042666,66.55310777462556,50.98655012188258,44.92827699316,True
6.182075335003134,33.552826658574766,54.546483780077125,28.22082105493906,True
56.276769842538954,57.51086049722652,47.780084599319764,29.81658332934653,False
22.489544425210507,48.43834294389379,53.061127817942996,20.006075724761175,True
37.78461285911037,64.7309610567243,44.60855659509298,7.447743574675112,True
32.82977998282395,28.968356254852406,49.38675797300191,28.784978870766174,True
47.473413701351674,,51.876231074923496,45.80382105586886,False
31.34062147630225,68.11224244934655,50.968954154981716,27.98194417699782,False
17.16234948958395,67.79328884240108,46.64123928921786,41.30208071103364,False
15.520584189884977,41.578823011546795,51.66700411566102,38.93694816883661,False
29.922396157721167,73.38641753599691,49.8461413446952,34.53811568615657,False
13.454269498733957,,55.93784957020556,45.844558768182274,False
34.67595088887253,67.35514495443273,47.00181547797729,20.665550043050942,False
10.545441316985922,49.32856028204282,46.69184810457382,50.850158079047674,False
46.39859529614456,59.78031139038349,53.556940884928395,25.482136430702717,False
17.53048063434325,69.68313561517135,50.23801379874374,28.294509840227782,False
7.3869866371974915,59.44273246715865,49.83554276393904,36.75014857041368,True
33.09484123567141,42.017359171436055,52.809244351922246,29.666898838842897,False
12.790326730799787,73.16475147608973,46.1274593137989,38.887716161729685,True
42.92634501391227,81.32115481081459,51.405364230295476,31.975022066258262,True
21.044367483773627,58.421483617330445,52.46279125675875,32.523864407529494,True
31.504549268389454,57.077605129828655,47.65458676974723,27.06155803637391,True
21.814434523604223,57.14495331111451,47.09722893813737,34.256513470787446,True
20.643762845692237,69.02057135399993,52.87161087945563,31.188815372049604,False
28.805061482752947,69.71287873392306,44.097593017151944,22.46751325736873,False
25.094443590172812,57.6146806592675,51.49730871036742,56.74550927004704,False
18.343251851881476,52.405393713972096,50.81132872719262,15.071168603805638,False
,68.56524795848026,51.16575567242267,52.91094550516149,False
47.24400035693463,72.12102321405493,51.922617414873656,48.07348355743231,True
41.510486477396555,47.212550880308115,53.48748004756956,42.915322158496586,False
19.897191743339057,68.92780844176357,52.60642649444372,22.499301399386333,False
26.70661007956971,57.65810853037841,48.93780605167643,34.65453932137291,True
33.26461464507792,70.15746221398726,43.092742570437245,47.156310270539876,False
49.41881425962238,42.25595719349275,51.996509141623946,34.62589055123751,False
48.47080941788282,62.80060399946794,53.269358679685894,34.12834699279991,False
34.98945004563557,30.135931097109662,54.162233200913725,38.68216589454824,True
26.33793071127504,56.278746501472995,46.57875715893022,38.1657969229494,True
22.785503092048433,79.23945115425046,55.43686201432699,28.546752930750195,True
35.1004411571427,44.36240273530609,46.11021856821152,28.524570540388208,False
22.752189356102292,70.475477990419,54.70369479655099,31.13987266356043,False
35.39522521663915,31.003074098317192,41.35650285395493,44.11974076838692,True
38.585150418911674,54.99954016631279,46.304189168125305,44.13952393620494,True
44.001706614556156,70.48515917576076,42.72991441035045,24.97196120407589,True
24.6829505134618,69.78329445319541,42.283900939676855,35.539196143162904,False
33.31185141275257,29.751859036416118,57.2435205044537,26.49471303729688,True
33.772632226117295,50.55577688647614,46.56796489975004,37.630336956275876,True
10.577464784580986,80.97988851210172,,2.330587762472941,True
25.21478405085241,66.48892570304298,46.550772930925305,51.47532735284849,False
40.40924910546341,60.633344380297764,57.264015329099955,56.07943545995699,False
22.942878864859917,59.72219043119439,47.145891169979706,22.643987695212687,True
46.46933353901286,36.98897343432218,53.12452867127336,33.88975618589874,True
23.83251233830735,56.681069140378,49.63768928465591,50.905556422431346,True
26.23451958182872,67.63593538728236,49.015860861479055,55.08207080613195,False
